# 'F' must be included if file has three columns!
F
# Contents of current scaler buffer
# Channel	Content	GatedDifference
1   270850.0       8.0
2   111796.0        9.0
3   188183.0       72.0
4  3907712.0      963.0
5   460661.0       79.0
6  4762060.0     1605.0
7        0.0        0.0
8        0.0        0.0
9  9834785.0     3128.0
10  3552921.0     1036.0
11 23806540.0     9817.0
12 18623088.0     7034.0
13 22732348.0     8962.0
14 150249856.0    60030.0
15 172002608.0    69006.0
16 74062704.0    36218.0
17   332291.0       91.0
18 33547148.0    14293.0
19   987208.0      465.0
20   291270.0      157.0
21   967661.0      490.0
22 34969272.0    14945.0
23 153674416.0    64206.0
24 114679160.0    43192.0
25 63048408.0    26908.0
26 89100896.0    42894.0
27 129090920.0    45123.0
28 189921472.0    80292.0
29 177177344.0    75457.0
30 199396384.0    84762.0
31        0.0        0.0
32 114023632.0    48110.0
33 111518744.0    46869.0
34 101654440.0    42547.0
35 135828176.0    56815.0
36 135674816.0    63601.0
37 57197752.0    23783.0
38 48217148.0    22758.0
39 103836048.0    43620.0
40 128649704.0    54845.0
41 154705776.0    65437.0
42 118202536.0    61891.0
43 164093936.0    54848.0
44 94974488.0    38659.0
45 116593440.0    49505.0
46 126455912.0    51287.0
47 177799600.0    65765.0
48 92173984.0    38193.0
49 125172496.0    52531.0
50 111106976.0    47044.0
51 114622840.0    48367.0
52 81699816.0    34233.0
53 74579384.0    29361.0
54 146395632.0    60840.0
55 60310636.0    25271.0
56 52559748.0    21740.0
57 89766104.0    37601.0
58 108421184.0    46688.0
59 179508784.0    76337.0
60 73768960.0    30481.0
61 46150740.0    19402.0
62 148277088.0    63220.0
63 137910736.0    58161.0
64 202241456.0    83302.0
65 145595744.0    62775.0
66 61873788.0    26384.0
67 61899624.0    26210.0
68 245362656.0   104780.0
69 90873736.0    38520.0
70 153018368.0    64569.0
71 184362880.0    79586.0
72 209279200.0    89665.0
73 234270192.0   100186.0
74 135529616.0    58158.0
75 163455584.0    69808.0
76 200295648.0    84950.0
77 141998656.0    60279.0
78 203639392.0    86314.0
79 231488816.0    97437.0
80 212227696.0    90110.0
81 196960624.0    81821.0
82 176028976.0    72134.0
83 212848544.0    87065.0
84        0.0        0.0
85        0.0        0.0
86 209398656.0    79368.0
87 219610832.0    89867.0
88 226618656.0    92833.0
89 235816272.0   101127.0
90 207043120.0    87452.0
91 224022624.0    93568.0
92 199190096.0    83318.0
93 232694320.0    97214.0
94 243453808.0   102930.0
95 227975536.0    95192.0
96 236438928.0    90870.0
97 203274176.0    84499.0
98 236046384.0    98534.0
99 273643872.0    96192.0
100 146274352.0    59931.0
101 79292072.0    31907.0
102 175926256.0    71678.0
103 165773216.0    67529.0
104 124846872.0    57015.0
105 128975552.0    52444.0
106 114952648.0    46581.0
107 166957312.0    58673.0
108        0.0        0.0
109  6154777.0     1606.0
110 304231616.0   122866.0
111 134854752.0    55017.0
112 147091136.0    58541.0
113 138112256.0    56189.0
114 232322608.0    94848.0
115 232150432.0    88527.0
116 150607808.0    58170.0
117 134550720.0    54849.0
118 231960160.0   104410.0
119 136203088.0    68743.0
120 144145200.0    51580.0
121 267863232.0   108768.0
122 245564160.0    98446.0
123 239131760.0    96271.0
124 326862752.0   130662.0
125 205936848.0    82049.0
126 265052176.0   105956.0
127 266261792.0   105012.0
128 294959392.0   116941.0
129 234461856.0    92590.0
130 286169536.0   113049.0
131 193260160.0    69491.0
132 296589216.0   116295.0
133 295035648.0   115128.0
134 298481472.0   118210.0
135 220726080.0    87161.0
136 311674208.0    98015.0
